ts_code,name,area,fullname,enname,cnspell,market,list_date
000068.SZ,华控赛格,深圳,深圳华控赛格股份有限公司,"Shenzhen Huakong Seg Co.,Ltd.",hksg,主板,19970611
000069.SZ,华侨城A,深圳,深圳华侨城股份有限公司,"Shenzhen Overseas Chinese Town Co.,Ltd.",hqca,主板,19970910
000070.SZ,特发信息,深圳,深圳市特发信息股份有限公司,"Shenzhen SDG Information Co., Ltd.",tfxx,主板,20000511
000078.SZ,海王生物,深圳,深圳市海王生物工程股份有限公司,"Shenzhen Neptunus Bioengineering Co.,Ltd",hwsw,主板,19981218
000088.SZ,盐田港,深圳,深圳市盐田港股份有限公司,"Shenzhen Yan Tian Port Holdings Co.,Ltd",ytg,主板,19970728
000089.SZ,深圳机场,深圳,深圳市机场股份有限公司,"Shenzhen Airport Co.,Ltd.",szjc,主板,19980420
000090.SZ,天健集团,深圳,深圳市天健(集团)股份有限公司,"Shenzhen Tagen Group Co., Ltd.",tjjt,主板,19990721
000096.SZ,广聚能源,深圳,深圳市广聚能源股份有限公司,"Shenzhen Guangju Energy Co.,Ltd.",gjny,主板,20000724
000099.SZ,中信海直,深圳,中信海洋直升机股份有限公司,"Citic Offshore Helicopter Co., Ltd.",zxhz,主板,20000731
000100.SZ,TCL科技,广东,TCL科技集团股份有限公司,TCL Technology Group Corporation,tclkj,主板,20040130
000150.SZ,宜华健康,广东,宜华健康医疗股份有限公司,"Yihua Healthcare Co.,Ltd.",yhjk,主板,20000807
000151.SZ,中成股份,北京,中成进出口股份有限公司,China National Complete Plant Import & Export Corporation Limited,zcgf,主板,20000906
000153.SZ,丰原药业,安徽,安徽丰原药业股份有限公司,"Anhui Fengyuan Pharmaceutical Co., Ltd.",fyyy,主板,20000920
000155.SZ,川能动力,四川,四川省新能源动力股份有限公司,Sichuan New Energypower Company Limited,cndl,主板,20000926
000156.SZ,华数传媒,浙江,华数传媒控股股份有限公司,"Wasu Media Holding Co.,Ltd",hscm,主板,20000906
000157.SZ,中联重科,湖南,中联重科股份有限公司,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",zlzk,主板,20001012
000158.SZ,常山北明,河北,石家庄常山北明科技股份有限公司,"Shijiazhuang Changshan Beiming Technology Co., Ltd",csbm,主板,20000724
000159.SZ,国际实业,新疆,新疆国际实业股份有限公司,"Xinjiang International Industry Co.,Ltd",gjsy,主板,20000926
000166.SZ,申万宏源,新疆,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co.,Ltd.",swhy,主板,20150126
000301.SZ,东方盛虹,江苏,江苏东方盛虹股份有限公司,"Jiangsu Eastern Shenghong Co.,Ltd.",dfsh,主板,20000529
000333.SZ,美的集团,广东,美的集团股份有限公司,"Midea Group Co.,Ltd.",mdjt,主板,20130918
000338.SZ,潍柴动力,山东,潍柴动力股份有限公司,"Weichai Power Co.,Ltd.",wcdl,主板,20070430
000400.SZ,许继电气,河南,许继电气股份有限公司,"Xuji Electric Co.,Ltd.",xjdq,主板,19970418
000401.SZ,冀东水泥,河北,唐山冀东水泥股份有限公司,"Tangshan Jidong Cement Co.,Ltd.",jdsn,主板,19960614
000402.SZ,金融街,北京,金融街控股股份有限公司,"Financial Street Holdings Co., Ltd.",jrj,主板,19960626
000403.SZ,派林生物,山西,派斯双林生物制药股份有限公司,"Pacific Shuanglin Bio-pharmacy Co., LTD",plsw,主板,19960628
000404.SZ,长虹华意,江西,长虹华意压缩机股份有限公司,"Changhong Huayi Compressor Co., Ltd.",chhy,主板,19960619
000407.SZ,胜利股份,山东,山东胜利股份有限公司,"Shandong Shengli Co.,Ltd.",slgf,主板,19960703
000408.SZ,藏格矿业,青海,藏格矿业股份有限公司,Zangge Mining Company Limited,cgky,主板,19960628
000409.SZ,云鼎科技,山东,云鼎科技股份有限公司,"Yunding Technology Co.,Ltd.",ydkj,主板,19960627
000410.SZ,ST沈机,辽宁,沈阳机床股份有限公司,"Shenyang Machine Tool Co.,Ltd",stsj,主板,19960718
000411.SZ,英特集团,浙江,浙江英特集团股份有限公司,"Zhejiang Int'l Group Co.,Ltd",ytjt,主板,19960716
000413.SZ,东旭光电,河北,东旭光电科技股份有限公司,"Tunghsu Optoelectronic Technology Co., Ltd.",dxgd,主板,19960925
000415.SZ,渤海租赁,新疆,渤海租赁股份有限公司,"Bohai Leasing Co.,Ltd.",bhzl,主板,19960716
000416.SZ,民生控股,山东,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd",mskg,主板,19960719
000417.SZ,合肥百货,安徽,合肥百货大楼集团股份有限公司,"Hefei Department Store Group Co.,Ltd",hfbh,主板,19960812
000419.SZ,通程控股,湖南,长沙通程控股股份有限公司,"Changsha Tongcheng Holdings Co.,Ltd",tckg,主板,19960816
000420.SZ,吉林化纤,吉林,吉林化纤股份有限公司,"Jilin Chemical Fibre Stock Co., Ltd.",jlhx,主板,19960802
000421.SZ,南京公用,江苏,南京公用发展股份有限公司,"NanJing Public Utilities Development Co.,Ltd.",njgy,主板,19960806
000422.SZ,湖北宜化,湖北,湖北宜化化工股份有限公司,"Hubei Yihua Chemical Industry Co.,Ltd",hbyh,主板,19960815
000423.SZ,东阿阿胶,山东,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd.",deej,主板,19960729
000425.SZ,徐工机械,江苏,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",xgjx,主板,19960828
000426.SZ,兴业矿业,内蒙,内蒙古兴业矿业股份有限公司,"Inner Mongolia Xingye Mining Co.,Ltd",xyky,主板,19960828
000428.SZ,华天酒店,湖南,华天酒店集团股份有限公司,"Huatian Hotel Group Co.,Ltd.",htjd,主板,19960808
