ts_code,name,area,fullname,enname,cnspell,market,list_date
002467.SZ,二六三,北京,二六三网络通信股份有限公司,Net263 Ltd.,els,中小板,20100908
002468.SZ,申通快递,浙江,申通快递股份有限公司,"Sto Express Co.,Ltd.",stkd,中小板,20100908
002469.SZ,三维化学,山东,山东三维化学集团股份有限公司,"Shandong Sunway Chemical Group Co.,Ltd.",swhx,中小板,20100908
002470.SZ,ST金正,山东,金正大生态工程集团股份有限公司,"Kingenta Ecological Engineering Group Co., Ltd",stjz,中小板,20100908
002471.SZ,中超控股,江苏,江苏中超控股股份有限公司,"Jiangsu Zhongchao Holding Co.,Ltd.",zckg,中小板,20100910
002472.SZ,双环传动,浙江,浙江双环传动机械股份有限公司,"Zhejiang Shuanghuan Driveline Co.,Ltd",shcd,中小板,20100910
002473.SZ,*ST圣莱,浙江,宁波圣莱达电器股份有限公司,"Ningbo Sunlight Electrical Appliance Co., Ltd",stsl,中小板,20100910
002474.SZ,榕基软件,福建,福建榕基软件股份有限公司,"Fujian Rongji Software Co.,Ltd.",rjrj,中小板,20100915
002475.SZ,立讯精密,深圳,立讯精密工业股份有限公司,"Luxshare Precision Industry Co., Ltd.",lxjm,中小板,20100915
002476.SZ,宝莫股份,山东,山东宝莫生物化工股份有限公司,"Shandong Polymer Biochemicals Co., Ltd",bmgf,中小板,20100915
002478.SZ,常宝股份,江苏,江苏常宝钢管股份有限公司,"Jiangsu Changbao Steeltube Co.,Ltd.",cbgf,中小板,20100921
002479.SZ,富春环保,浙江,浙江富春江环保热电股份有限公司,"Zhejiang Fuchunjiang Environmental Thermoelectric Co.,Ltd.",fchb,中小板,20100921
002480.SZ,新筑股份,四川,成都市新筑路桥机械股份有限公司,"Chengdu Xinzhu Road&Bridge Machinery Co.,Ltd",xzgf,中小板,20100921
002481.SZ,双塔食品,山东,烟台双塔食品股份有限公司,"Yantai Shuangta Food Co., Ltd.",stsp,中小板,20100921
002482.SZ,广田集团,深圳,深圳广田集团股份有限公司,"Shenzhen Grandland Group Co.,Ltd.",gtjt,中小板,20100929
002483.SZ,润邦股份,江苏,江苏润邦重工股份有限公司,"Jiangsu Rainbow Heavy Industries Co.,Ltd.",rbgf,中小板,20100929
002484.SZ,江海股份,江苏,南通江海电容器股份有限公司,"Nantong Jianghai Capacitor Co.,Ltd.",jhgf,中小板,20100929
002485.SZ,雪松发展,山东,雪松发展股份有限公司,"Cedar Development Co.,Ltd.",xsfz,中小板,20101015
002486.SZ,嘉麟杰,上海,上海嘉麟杰纺织品股份有限公司,"Shanghai Challenge Textile Co.,Ltd.",jlj,中小板,20101015
002487.SZ,大金重工,辽宁,大金重工股份有限公司,"Dajin Heavy Industry Co., Ltd.",djzg,中小板,20101015
002488.SZ,金固股份,浙江,浙江金固股份有限公司,Zhejiang Jingu Company Limited,jggf,中小板,20101021
002489.SZ,浙江永强,浙江,浙江永强集团股份有限公司,"Yotrio Group Co., Ltd",zjyq,中小板,20101021
002490.SZ,山东墨龙,山东,山东墨龙石油机械股份有限公司,Shandong Molong Petroleum Machinery Company Limited,sdml,中小板,20101021
002491.SZ,通鼎互联,江苏,通鼎互联信息股份有限公司,"Tongding Interconnection Information Co.,Ltd.",tdhl,中小板,20101021
002492.SZ,恒基达鑫,广东,珠海恒基达鑫国际化工仓储股份有限公司,"Zhuhai Winbase International Chemical Tank Terminal Co.,Ltd",hjdx,中小板,20101102
002493.SZ,荣盛石化,浙江,荣盛石化股份有限公司,"Rongsheng Petrochemical Co., Ltd.",rssh,中小板,20101102
002494.SZ,华斯股份,河北,华斯控股股份有限公司,Huasi Holding Company Limited,hsgf,中小板,20101102
002495.SZ,佳隆股份,广东,广东佳隆食品股份有限公司,"Guangdong Jialong Food Co.,Ltd.",jlgf,中小板,20101102
002496.SZ,ST辉丰,江苏,江苏辉丰生物农业股份有限公司,"Jiangsu Huifeng Bio Agriculture Co., Ltd.",sthf,中小板,20101109
002497.SZ,雅化集团,四川,四川雅化实业集团股份有限公司,"Sichuan Yahua Industrial Group Co.,Ltd.",yhjt,中小板,20101109
002498.SZ,汉缆股份,山东,青岛汉缆股份有限公司,"Qingdao Hanhe Cable Co., Ltd.",hlgf,中小板,20101109
002499.SZ,*ST科林,江苏,科林环保装备股份有限公司,"Kelin Environmental Protection Equipment,Inc.",stkl,中小板,20101109
002500.SZ,山西证券,山西,山西证券股份有限公司,Shanxi Securities Company Limited,sxzq,中小板,20101115
002501.SZ,*ST利源,吉林,吉林利源精制股份有限公司,"Jilin Liyuan Precision Manufacturing Co., Ltd.",stly,中小板,20101117
002502.SZ,鼎龙文化,广东,鼎龙文化股份有限公司,"Dinglong Culture Co.,Ltd.",dlwh,中小板,20101117
002503.SZ,搜于特,广东,搜于特集团股份有限公司,"Souyute Group Co., Ltd.",syt,中小板,20101117
002504.SZ,ST弘高,北京,北京弘高创意建筑设计股份有限公司,"Beijing Honggao Creative Architectural Design Co.,Ltd.",sthg,中小板,20101118
002505.SZ,鹏都农牧,湖南,鹏都农牧股份有限公司,"Pengdu Agriculture & Animal Husbandry Co.,Ltd",pdnm,中小板,20101118
002506.SZ,协鑫集成,上海,协鑫集成科技股份有限公司,"Gcl System Integration Technology Co., Ltd.",xxjc,中小板,20101118
002507.SZ,涪陵榨菜,重庆,重庆市涪陵榨菜集团股份有限公司,"Chongqing Fuling Zhacai Group Co.,Ltd.",flzc,中小板,20101123
002508.SZ,老板电器,浙江,杭州老板电器股份有限公司,"Hangzhou Robam Appliances Co.,Ltd.",lbdq,中小板,20101123
002510.SZ,天汽模,天津,天津汽车模具股份有限公司,"Tianjin Motor Dies Co.,Ltd.",tqm,中小板,20101125
002511.SZ,中顺洁柔,广东,中顺洁柔纸业股份有限公司,"C&S Paper Co.,Ltd",zsjr,中小板,20101125
002512.SZ,达华智能,福建,福州达华智能科技股份有限公司,"Tatwah Smartech Co., Ltd",dhzn,中小板,20101203
002513.SZ,蓝丰生化,江苏,江苏蓝丰生物化工股份有限公司,"Jiangsu Lanfeng Bio-Chemical Co.,Ltd.",lfsh,中小板,20101203
002514.SZ,宝馨科技,江苏,江苏宝馨科技股份有限公司,"Jiangsu Boamax Technologies Group Co.,Ltd.",bxkj,中小板,20101203
002515.SZ,金字火腿,浙江,金字火腿股份有限公司,"Jinzi Ham Co.,Ltd.",jzht,中小板,20101203
002516.SZ,旷达科技,江苏,旷达科技集团股份有限公司,"Kuangda Technology Group Co., Ltd.",kdkj,中小板,20101207
002517.SZ,恺英网络,福建,恺英网络股份有限公司,"Kingnet Network Co., Ltd.",kywl,中小板,20101207
002518.SZ,科士达,深圳,深圳科士达科技股份有限公司,"Shenzhen Kstar Science & Technology Co., Ltd.",ksd,中小板,20101207
002519.SZ,银河电子,江苏,江苏银河电子股份有限公司,"Jiangsu Yinhe Electronics Co.,Ltd.",yhdz,中小板,20101207
002520.SZ,日发精机,浙江,浙江日发精密机械股份有限公司,"Zhejiang Rifa Precision Machinery Co.,Ltd.",rfjj,中小板,20101210
002521.SZ,齐峰新材,山东,齐峰新材料股份有限公司,"Qifeng New Material Co.,Ltd",qfxc,中小板,20101210
002522.SZ,浙江众成,浙江,浙江众成包装材料股份有限公司,"Zhejiang Zhongcheng Packing Material Co., Ltd",zjzc,中小板,20101210
002523.SZ,天桥起重,湖南,株洲天桥起重机股份有限公司,"Zhuzhou Tianqiao Crane Co., Ltd.",tqqz,中小板,20101210
002524.SZ,光正眼科,新疆,光正眼科医院集团股份有限公司,Guangzheng Eye Hospital Group Co.Ltd,gzyk,中小板,20101217
002526.SZ,山东矿机,山东,山东矿机集团股份有限公司,"Shandong Mining Machinery Group Co., Ltd.",sdkj,中小板,20101217
002527.SZ,新时达,上海,上海新时达电气股份有限公司,Shanghai STEP Electric Corporation,xsd,中小板,20101224
002528.SZ,英飞拓,深圳,深圳英飞拓科技股份有限公司,Shenzhen Infinova Limited,yft,中小板,20101224
002529.SZ,海源复材,江西,江西海源复合材料科技股份有限公司,"Jiangxi Haiyuan Composites Technology Co.,Ltd.",hyfc,中小板,20101224
002530.SZ,金财互联,江苏,金财互联控股股份有限公司,Jc Finance & Tax Interconnect Holdings Ltd.,jchl,中小板,20101231
002531.SZ,天顺风能,江苏,天顺风能(苏州)股份有限公司,"Titan Wind Energy (Suzhou) Co., Ltd",tsfn,中小板,20101231
002532.SZ,天山铝业,浙江,天山铝业集团股份有限公司,"Tianshan Aluminum Group Co.,Ltd.",tsly,中小板,20101231
002533.SZ,金杯电工,湖南,金杯电工股份有限公司,"Gold Cup Electric Apparatus Co.,Ltd.",jbdg,中小板,20101231
002534.SZ,西子洁能,浙江,西子清洁能源装备制造股份有限公司,"Xizi Clean Energy Equipment Manufacturing Co., Ltd.",xzjn,中小板,20110110
002535.SZ,ST林重,河南,林州重机集团股份有限公司,"Linzhou Heavy Machinery Group Co., Ltd.",stlz,中小板,20110111
002536.SZ,飞龙股份,河南,飞龙汽车部件股份有限公司,"Feilong Auto Components Co.,Ltd",flgf,中小板,20110111
002537.SZ,海联金汇,山东,海联金汇科技股份有限公司,"Hyunion Holding Co.,Ltd",hljh,中小板,20110110
002538.SZ,司尔特,安徽,安徽省司尔特肥业股份有限公司,"Anhui Sierte Fertilizer Industry Ltd.,Company",set,中小板,20110118
002539.SZ,云图控股,四川,成都云图控股股份有限公司,"Chengdu Wintrue Holding Co., Ltd.",ytkg,中小板,20110118
002540.SZ,亚太科技,江苏,江苏亚太轻合金科技股份有限公司,"Jiangsu Asia-Pacific Light Alloy Technology Co., Ltd.",ytkj,中小板,20110118
002541.SZ,鸿路钢构,安徽,安徽鸿路钢结构(集团)股份有限公司,"Anhui Honglu Steel Construction(Group) Co.,Ltd",hlgg,中小板,20110118
002542.SZ,中化岩土,北京,中化岩土集团股份有限公司,"China Zhonghua Geotechnical Engineering Group Co., Ltd.",zhyt,中小板,20110128
002543.SZ,万和电气,广东,广东万和新电气股份有限公司,"Guangdong Vanward New Electric Co.,Ltd",whdq,中小板,20110128
002544.SZ,杰赛科技,广东,广州杰赛科技股份有限公司,"Gci Science & Technology Co., Ltd.",jskj,中小板,20110128
002545.SZ,东方铁塔,山东,青岛东方铁塔股份有限公司,Qingdao East Steel Tower Stock Co.Ltd,dftt,中小板,20110211
002546.SZ,新联电子,江苏,南京新联电子股份有限公司,"Nanjing Xinlian Electronics Co., Ltd",xldz,中小板,20110211
002547.SZ,春兴精工,江苏,苏州春兴精工股份有限公司,"Suzhou Chunxing Precision Mechanical Co.,Ltd.",cxjg,中小板,20110218
002548.SZ,金新农,深圳,深圳市金新农科技股份有限公司,"Shenzhen Kingsino Technology Co.,Ltd.",jxn,中小板,20110218
002549.SZ,凯美特气,湖南,湖南凯美特气体股份有限公司,"Hunan Kaimeite Gases Co., Ltd.",kmtq,中小板,20110218
002550.SZ,千红制药,江苏,常州千红生化制药股份有限公司,"Changzhou Qianhong Biopharma Co.,Ltd",qhzy,中小板,20110218
002551.SZ,尚荣医疗,深圳,深圳市尚荣医疗股份有限公司,"Shenzhen Glory Medical Co.,Ltd.",sryl,中小板,20110225
002552.SZ,宝鼎科技,浙江,宝鼎科技股份有限公司,"Baoding Technology Co.,Ltd.",bdkj,中小板,20110225
002553.SZ,南方轴承,江苏,江苏南方轴承股份有限公司,"Jiangsu Nanfang Bearing Co.,Ltd.",nfzc,中小板,20110225
002554.SZ,惠博普,湖南,华油惠博普科技股份有限公司,"China Oil Hbp Science & Technology Co.,Ltd",hbp,中小板,20110225
002555.SZ,三七互娱,安徽,芜湖三七互娱网络科技集团股份有限公司,"Wuhu Sanqi Interactive Entertainment Network Technology Group Co.,Ltd.",sqhy,中小板,20110302
002556.SZ,辉隆股份,安徽,安徽辉隆农资集团股份有限公司,"Anhui Huilong Agricultural Means of Production .Co.,Ltd.",hlgf,中小板,20110302
002557.SZ,洽洽食品,安徽,洽洽食品股份有限公司,"Chacha Food Company,Limited",qqsp,中小板,20110302
002558.SZ,巨人网络,重庆,巨人网络集团股份有限公司,"Giant Network Group Co., Ltd.",jrwl,中小板,20110302
002559.SZ,亚威股份,江苏,江苏亚威机床股份有限公司,"Jiangsu Yawei Machine Tool Co.,Ltd.",ywgf,中小板,20110303
002560.SZ,通达股份,河南,河南通达电缆股份有限公司,"Henan Tong-Da Cable Co., Ltd.",tdgf,中小板,20110303
002561.SZ,徐家汇,上海,上海徐家汇商城股份有限公司,"Shanghai Xujiahui Commercial Co., Ltd.",xjh,中小板,20110303
002562.SZ,兄弟科技,浙江,兄弟科技股份有限公司,"Brother Enterprises Holding Co.,Ltd.",xdkj,中小板,20110310
002563.SZ,森马服饰,浙江,浙江森马服饰股份有限公司,"Zhejiang Semir Garment Co., Ltd.",smfs,中小板,20110311
002564.SZ,天沃科技,江苏,苏州天沃科技股份有限公司,"Suzhou Thvow Technology Co.,Ltd.",twkj,中小板,20110310
002565.SZ,顺灏股份,上海,上海顺灏新材料科技股份有限公司,"Shanghai Shunho New Materials Technology Co.,Ltd.",shgf,中小板,20110318
002566.SZ,益盛药业,吉林,吉林省集安益盛药业股份有限公司,"Jilin Jian Yisheng Pharmaceutical Co.,Ltd.",ysyy,中小板,20110318
002567.SZ,唐人神,湖南,唐人神集团股份有限公司,"Tangrenshen Group Co., Ltd",trs,中小板,20110325
002568.SZ,百润股份,上海,上海百润投资控股集团股份有限公司,"Shanghai Bairun Investment Holding Group Co., Ltd.",brgf,中小板,20110325
002569.SZ,ST步森,浙江,浙江步森服饰股份有限公司,"Zhejiang Busen Garments Co.,Ltd.",stbs,中小板,20110412
002570.SZ,贝因美,浙江,贝因美股份有限公司,"Beingmate Co.,Ltd",bym,中小板,20110412
002571.SZ,德力股份,安徽,安徽德力日用玻璃股份有限公司,"Anhui Deli Housedhold Glass Co.,Ltd",dlgf,中小板,20110412
002572.SZ,索菲亚,广东,索菲亚家居股份有限公司,"Suofeiya Home Collection Co.,Ltd",sfy,中小板,20110412
002573.SZ,清新环境,北京,北京清新环境技术股份有限公司,"Beijing SPC Environment Protection Tech Co.,Ltd.",qxhj,中小板,20110422
002574.SZ,明牌珠宝,浙江,浙江明牌珠宝股份有限公司,"Zhejiang Ming Jewelry Co.,Ltd.",mpzb,中小板,20110422
002575.SZ,*ST群兴,广东,广东群兴玩具股份有限公司,"Guangdong Qunxing Toys Joint-Stock Co.,Ltd",stqx,中小板,20110422
002576.SZ,通达动力,江苏,江苏通达动力科技股份有限公司,"Jiangsu Tongda Power Technology Co.,Ltd.",tddl,中小板,20110428
002577.SZ,雷柏科技,深圳,深圳雷柏科技股份有限公司,"Shenzhen Rapoo Technology Co.,Ltd.",lbkj,中小板,20110428
002578.SZ,闽发铝业,福建,福建省闽发铝业股份有限公司,Fujian Minfa Aluminium Inc,mfly,中小板,20110428
002579.SZ,中京电子,广东,惠州中京电子科技股份有限公司,Huizhou China Eagle Electronic Technology Inc.,zjdz,中小板,20110506
002580.SZ,圣阳股份,山东,山东圣阳电源股份有限公司,"Shandong Sacred Sun Power Sources Co.,Ltd.",sygf,中小板,20110506
002581.SZ,未名医药,山东,山东未名生物医药股份有限公司,"Shandong Sinobioway Biomedicine Co., Ltd.",wmyy,中小板,20110520
002582.SZ,好想你,河南,好想你健康食品股份有限公司,"Haoxiangni Health Food Co., Ltd.",hxn,中小板,20110520
002583.SZ,海能达,深圳,海能达通信股份有限公司,Hytera Communications Corporation Limited,hnd,中小板,20110527
002584.SZ,西陇科学,广东,西陇科学股份有限公司,"Xilong Scientific Co.,Ltd",xlkx,中小板,20110602
002585.SZ,双星新材,江苏,江苏双星彩塑新材料股份有限公司,"Jiangsu Shuangxing Color Plastic New Materials Co.,Ltd.",sxxc,中小板,20110602
002586.SZ,*ST围海,浙江,浙江省围海建设集团股份有限公司,"Zhejiang Reclaim Construction Group Co., Ltd.",stwh,中小板,20110602
002587.SZ,奥拓电子,深圳,深圳市奥拓电子股份有限公司,"Shenzhen Aoto Electronics Co., Ltd.",atdz,中小板,20110610
002588.SZ,史丹利,山东,史丹利农业集团股份有限公司,"Stanley Agriculture Group Co.,Ltd.",sdl,中小板,20110610
002589.SZ,瑞康医药,山东,瑞康医药集团股份有限公司,"Realcan Pharmaceutical Group Co., Ltd.",rkyy,中小板,20110610
002590.SZ,万安科技,浙江,浙江万安科技股份有限公司,"Zhejiang Vie Science & Technology Co.,Ltd.",wakj,中小板,20110610
002591.SZ,恒大高新,江西,江西恒大高新技术股份有限公司,"Jiangxi Hengda Hi-Tech Co., Ltd.",hdgx,中小板,20110621
002592.SZ,ST八菱,广西,南宁八菱科技股份有限公司,"Nanning Baling Technology Co.,Ltd.",stbl,中小板,20111111
002593.SZ,日上集团,福建,厦门日上集团股份有限公司,"Xiamen Sunrise Group Co.,Ltd",rsjt,中小板,20110628
002594.SZ,比亚迪,深圳,比亚迪股份有限公司,BYD Company Limited,byd,中小板,20110630
002595.SZ,豪迈科技,山东,山东豪迈机械科技股份有限公司,"Himile Mechanical Science and Technology (Shandong) Co.,Ltd",hmkj,中小板,20110628
002596.SZ,海南瑞泽,海南,海南瑞泽新型建材股份有限公司,"Hainan Ruize New Building Material Co.,Ltd.",hnrz,中小板,20110707
002597.SZ,金禾实业,安徽,安徽金禾实业股份有限公司,"Anhui Jinhe Industrial Co.,Ltd.",jhsy,中小板,20110707
002598.SZ,山东章鼓,山东,山东省章丘鼓风机股份有限公司,"Shandong Zhangqiu Blower Co.,Ltd",sdzg,中小板,20110707
002599.SZ,盛通股份,北京,北京盛通印刷股份有限公司,"Beijing Shengtong Printing Co.,Ltd",stgf,中小板,20110715
002600.SZ,领益智造,广东,广东领益智造股份有限公司,Lingyi Itech (Guangdong) Company,lyzz,中小板,20110715
002601.SZ,龙佰集团,河南,龙佰集团股份有限公司,"Lb Group Co., Ltd.",lbjt,中小板,20110715
002602.SZ,世纪华通,浙江,浙江世纪华通集团股份有限公司,"Zhejiang Century Huatong Group Co.,Ltd",sjht,中小板,20110728
002603.SZ,以岭药业,河北,石家庄以岭药业股份有限公司,"Shijiazhuang Yiling Pharmaceutical Co., Ltd",ylyy,中小板,20110728
002605.SZ,姚记科技,上海,上海姚记科技股份有限公司,"Shanghai Yaoji Technology Co., Ltd.",yjkj,中小板,20110805
002606.SZ,大连电瓷,辽宁,大连电瓷集团股份有限公司,"Dalian Insulator Group Co.,Ltd.",dldc,中小板,20110805
002607.SZ,中公教育,安徽,中公教育科技股份有限公司,"Offcn Education Technology Co., Ltd.",zgjy,中小板,20110810
002608.SZ,江苏国信,江苏,江苏国信股份有限公司,"Jiangsu Guoxin Corp., Ltd.",jsgx,中小板,20110810
002609.SZ,捷顺科技,深圳,深圳市捷顺科技实业股份有限公司,"Shenzhen Jieshun Science and Technology Industry Co., Ltd.",jskj,中小板,20110815
002610.SZ,爱康科技,江苏,江苏爱康科技股份有限公司,"Jiangsu Akcome Science & Technology Co.,Ltd.",akkj,中小板,20110815
002611.SZ,东方精工,广东,广东东方精工科技股份有限公司,"Guangdong Dongfang Precision Science & Technology Co.,Ltd.",dfjg,中小板,20110830
002612.SZ,朗姿股份,北京,朗姿股份有限公司,"Lancy Co., Ltd",lzgf,中小板,20110830
002613.SZ,北玻股份,河南,洛阳北方玻璃技术股份有限公司,"Luoyang Northglass Technology Co.,Ltd",bbgf,中小板,20110830
002614.SZ,奥佳华,福建,奥佳华智能健康科技集团股份有限公司,"Xiamen Comfort Science&Technology Group Co., Ltd.",ajh,中小板,20110909
002615.SZ,哈尔斯,浙江,浙江哈尔斯真空器皿股份有限公司,"Zhejiang Haers Vacuum Containers Co.,Ltd.",hes,中小板,20110909
002616.SZ,长青集团,广东,广东长青(集团)股份有限公司,Guangdong Chant Group Inc.,cqjt,中小板,20110920
002617.SZ,露笑科技,浙江,露笑科技股份有限公司,"Roshow Technology Co., Ltd",lxkj,中小板,20110920
002618.SZ,*ST丹邦,深圳,深圳丹邦科技股份有限公司,"Shenzhen Danbond Technology Co.,Ltd.",stdb,中小板,20110920
002619.SZ,*ST艾格,浙江,艾格拉斯股份有限公司,"Egls Co.,Ltd.",stag,中小板,20110929
002620.SZ,瑞和股份,深圳,深圳瑞和建筑装饰股份有限公司,"Shenzhen Ruihe Construction Decoration Co., Ltd.",rhgf,中小板,20110929
002621.SZ,美吉姆,辽宁,大连美吉姆教育科技股份有限公司,"Dalian My Gym Education Technology Co.,Ltd.",mjm,中小板,20110929
002622.SZ,融钰集团,吉林,融钰集团股份有限公司,"Rongyu Group Co.,Ltd.",ryjt,中小板,20111018
002623.SZ,亚玛顿,江苏,常州亚玛顿股份有限公司,"Changzhou Almaden Co., Ltd.",ymd,中小板,20111013
002624.SZ,完美世界,浙江,完美世界股份有限公司,"Perfect World Co., Ltd.",wmsj,中小板,20111028
002625.SZ,光启技术,深圳,光启技术股份有限公司,"Kuang-Chi Technologies Co., Ltd.",gqjs,中小板,20111103
002626.SZ,金达威,福建,厦门金达威集团股份有限公司,Xiamen Kingdomway Group Company,jdw,中小板,20111028
002627.SZ,三峡旅游,湖北,湖北三峡旅游集团股份有限公司,"Hubei Three Gorges Tourism Group Co., Ltd.",sxly,中小板,20111103
002628.SZ,成都路桥,四川,成都市路桥工程股份有限公司,"Chengdu Road & Bridge Engineering Co.,Ltd",cdlq,中小板,20111103
002629.SZ,仁智股份,浙江,浙江仁智股份有限公司,"Zhejiang Renzhi Co.,Ltd.",rzgf,中小板,20111103
002630.SZ,华西能源,四川,华西能源工业股份有限公司,"China Western Power Industrial Co., Ltd.",hxny,中小板,20111111
002631.SZ,德尔未来,江苏,德尔未来科技控股集团股份有限公司,"Der Future Science and Technology Holding Group Co., Ltd.",dewl,中小板,20111111
002632.SZ,道明光学,浙江,道明光学股份有限公司,"Daoming Optics&Chemical Co.,Ltd",dmgx,中小板,20111122
002633.SZ,申科股份,浙江,申科滑动轴承股份有限公司,Shenke Slide Bearing Corporation,skgf,中小板,20111122
002634.SZ,棒杰股份,浙江,浙江棒杰控股集团股份有限公司,"Zhejiang Bangjie Holding Group Co.,Ltd",bjgf,中小板,20111205
002635.SZ,安洁科技,江苏,苏州安洁科技股份有限公司,"Suzhou Anjie Technology Co., Ltd.",ajkj,中小板,20111125
002636.SZ,金安国纪,上海,金安国纪科技股份有限公司,Goldenmax International Technology Ltd.,jagj,中小板,20111125
002637.SZ,赞宇科技,浙江,赞宇科技集团股份有限公司,"Zanyu Technology Group Co., Ltd.",zykj,中小板,20111125
002638.SZ,勤上股份,广东,东莞勤上光电股份有限公司,"Dongguan Kingsun Optoelectronic Co.,Ltd.",qsgf,中小板,20111125
002639.SZ,雪人股份,福建,福建雪人股份有限公司,"Fujian Snowman Co., Ltd",xrgf,中小板,20111205
002640.SZ,*ST跨境,山西,跨境通宝电子商务股份有限公司,"Global Top E-Commerce Co.,Ltd.",stkj,中小板,20111208
002641.SZ,公元股份,浙江,公元股份有限公司,"Era Co.,Ltd.",gygf,中小板,20111208
002642.SZ,荣联科技,北京,荣联科技集团股份有限公司,Ronglian Group Ltd.,rlkj,中小板,20111220
002643.SZ,万润股份,山东,中节能万润股份有限公司,"Valiant Co.,Ltd",wrgf,中小板,20111220
002644.SZ,佛慈制药,甘肃,兰州佛慈制药股份有限公司,"Lanzhou Foci Pharmaceutical Co., Ltd.",fczy,中小板,20111222
002645.SZ,华宏科技,江苏,江苏华宏科技股份有限公司,"Jiangsu Huahong Technology Co., Ltd.",hhkj,中小板,20111220
002646.SZ,天佑德酒,青海,青海互助天佑德青稞酒股份有限公司,"Qinghai Huzhu TianYouDe Highland Barley Spirit Co., Ltd.",tydj,中小板,20111222
002647.SZ,仁东控股,浙江,仁东控股股份有限公司,"Rendong Holdings Co., Ltd.",rdkg,中小板,20111228
002648.SZ,卫星化学,浙江,卫星化学股份有限公司,"Satellite Chemical Co., Ltd.",wxhx,中小板,20111228
002649.SZ,博彦科技,北京,博彦科技股份有限公司,Beyondsoft Corporation,bykj,中小板,20120106
002650.SZ,加加食品,湖南,加加食品集团股份有限公司,"Jiajia Food Group Co.,Ltd.",jjsp,中小板,20120106
002651.SZ,利君股份,四川,成都利君实业股份有限公司,"Chengdu Leejun Industrial Co., Ltd.",ljgf,中小板,20120106
002652.SZ,扬子新材,江苏,苏州扬子江新型材料股份有限公司,"Suzhou Yangtze New Materials Co.,Ltd.",yzxc,中小板,20120119
002653.SZ,海思科,西藏,海思科医药集团股份有限公司,"Haisco Pharmaceutical Group Co., Ltd.",hsk,中小板,20120117
002654.SZ,万润科技,深圳,深圳万润科技股份有限公司,"Shenzhen Mason Technologies Co., Ltd.",wrkj,中小板,20120217
002655.SZ,共达电声,山东,共达电声股份有限公司,"Gettop Acoustic Co., Ltd",gdds,中小板,20120217
002656.SZ,ST摩登,广东,摩登大道时尚集团股份有限公司,"Modern Avenue Group Co., Ltd.",stmd,中小板,20120228
002657.SZ,中科金财,北京,北京中科金财科技股份有限公司,"Sinodata Co., Ltd.",zkjc,中小板,20120228
002658.SZ,雪迪龙,北京,北京雪迪龙科技股份有限公司,"Beijing SDL Technology Co.,Ltd",xdl,中小板,20120309
002659.SZ,凯文教育,北京,北京凯文德信教育科技股份有限公司,"Beijing Kaiwen Education Technology Co., Ltd",kwjy,中小板,20120309
002660.SZ,茂硕电源,深圳,茂硕电源科技股份有限公司,"Moso Power Supply Technology Co., Ltd",msdy,中小板,20120316
002661.SZ,克明食品,湖南,陈克明食品股份有限公司,"Chen Ke Ming Food Manufacturing Co.,Ltd",kmsp,中小板,20120316
002662.SZ,京威股份,北京,北京威卡威汽车零部件股份有限公司,"Beijing WKW Automotive Parts Co., Ltd.",jwgf,中小板,20120309
002663.SZ,普邦股份,广东,广州普邦园林股份有限公司,"Pubang Landscape Architecture Co.,Ltd",pbgf,中小板,20120316
002664.SZ,长鹰信质,浙江,长鹰信质科技股份有限公司,"Changying Xinzhi Technology Co.,Ltd.",cyxz,中小板,20120316
002665.SZ,首航高科,甘肃,首航高科能源技术股份有限公司,"Shouhang High-Tech Energy Co., Ltd",shgk,中小板,20120327
002666.SZ,德联集团,广东,广东德联集团股份有限公司,"Guangdong Delian Group Co., Ltd",dljt,中小板,20120327
002667.SZ,鞍重股份,辽宁,鞍山重型矿山机器股份有限公司,"Anshan Heavy Duty Mining Machinery Co., Ltd.",azgf,中小板,20120329
002668.SZ,ST奥马,广东,广东奥马电器股份有限公司,"Guangdong Homa Group Co., Ltd.",stam,中小板,20120416
002669.SZ,康达新材,上海,康达新材料(集团)股份有限公司,"Kangda New Materials(Group) Co., Ltd",kdxc,中小板,20120416
002670.SZ,国盛金控,广东,国盛金融控股集团股份有限公司,Guosheng Financial Holding Inc.,gsjk,中小板,20120416
002671.SZ,龙泉股份,山东,山东龙泉管道工程股份有限公司,"Shandong Longquan Pipeline Engineering Co.,Ltd",lqgf,中小板,20120426
002672.SZ,东江环保,深圳,东江环保股份有限公司,Dongjiang Environmental Company Limited,djhb,中小板,20120426
002673.SZ,西部证券,陕西,西部证券股份有限公司,"Western Securities Co., Ltd",xbzq,中小板,20120503
002674.SZ,兴业科技,福建,兴业皮革科技股份有限公司,"Xingye Leather Technology Co.,Ltd.",xykj,中小板,20120507
002675.SZ,东诚药业,山东,烟台东诚药业集团股份有限公司,"Yantai Dongcheng Biochemicals Co.,Ltd",dcyy,中小板,20120525
002676.SZ,顺威股份,广东,广东顺威精密塑料股份有限公司,"Guangdong Sunwill Precising Plastic Co.,Ltd.",swgf,中小板,20120525
002677.SZ,浙江美大,浙江,浙江美大实业股份有限公司,"Zhejiang Meida Industrial Co.,Ltd.",zjmd,中小板,20120525
002678.SZ,珠江钢琴,广东,广州珠江钢琴集团股份有限公司,"Guangzhou Pearl River Piano Group Co.,Ltd",zjgq,中小板,20120530
002679.SZ,福建金森,福建,福建金森林业股份有限公司,"Fujian Jinsen Forestry Co., Ltd.",fjjs,中小板,20120605
